13:22:33: 19.2°C
15:32:55: 20.9°C
15:33:01: 20.9°C
15:33:07: 20.8°C
15:33:14: 20.9°C
15:33:20: 20.8°C
15:33:26: 20.9°C
15:33:32: 20.9°C
15:33:39: 20.8°C
15:33:45: 20.9°C
15:33:51: 20.8°C
15:33:58: 20.9°C
15:34:04: 20.9°C
15:34:10: 20.9°C
15:34:16: 20.9°C
15:34:23: 20.9°C
15:34:29: 20.9°C
15:34:35: 20.9°C
15:34:41: 20.9°C
15:34:48: 20.9°C
15:34:54: 20.9°C
15:35:00: 20.9°C
15:35:06: 20.9°C
15:35:13: 20.9°C
15:35:19: 20.9°C
15:35:25: 20.9°C
15:35:32: 20.9°C
15:35:38: 20.9°C
15:35:44: 20.9°C
15:35:50: 20.9°C
15:35:57: 20.9°C
15:36:03: 20.9°C
15:36:09: 20.9°C
15:36:15: 20.9°C
15:36:22: 20.9°C
15:36:28: 20.9°C
15:36:34: 20.9°C
15:36:40: 20.9°C
15:36:47: 20.9°C
15:36:53: 20.9°C
15:36:59: 20.9°C
15:37:05: 20.9°C
15:37:12: 20.9°C
15:37:18: 20.9°C
15:37:24: 20.9°C
15:37:31: 20.9°C
15:37:37: 20.9°C
15:37:43: 20.9°C
15:37:49: 20.9°C
15:37:56: 20.9°C
15:38:02: 20.9°C
15:38:08: 20.9°C
15:38:14: 20.9°C
15:38:21: 20.9°C
15:38:27: 20.9°C
15:38:33: 20.9°C
15:38:39: 20.9°C
15:38:46: 20.9°C
15:38:52: 20.9°C
15:38:58: 20.9°C
15:39:05: 20.9°C
15:39:11: 20.9°C
15:39:17: 20.9°C
15:39:23: 20.9°C
15:39:30: 20.9°C
15:39:36: 20.9°C
15:39:42: 20.9°C
15:39:48: 20.9°C
15:39:55: 20.9°C
15:40:01: 20.9°C
15:40:07: 20.9°C
15:40:13: 20.9°C
15:40:20: 20.9°C
15:40:26: 20.9°C
15:40:32: 20.9°C
15:40:39: 20.9°C
15:40:45: 20.9°C
15:40:51: 20.9°C
15:40:57: 20.9°C
15:41:04: 20.9°C
15:41:10: 20.9°C
15:41:16: 20.9°C
15:41:22: 20.9°C
15:41:29: 20.9°C
15:41:35: 20.9°C
15:41:41: 20.9°C
15:41:47: 20.9°C
15:41:54: 20.9°C
15:42:00: 20.9°C
15:42:06: 20.9°C
15:42:13: 21.0°C
15:42:19: 20.9°C
15:42:25: 21.0°C
15:42:31: 20.9°C
15:42:38: 20.9°C
15:42:44: 21.0°C
15:42:50: 20.9°C
15:42:56: 20.9°C
15:43:03: 20.9°C
15:43:09: 20.9°C
15:43:15: 20.9°C
15:43:22: 20.9°C
15:43:28: 21.0°C
15:43:34: 20.9°C
15:43:40: 20.9°C
15:43:47: 21.0°C
15:43:53: 20.9°C
15:43:59: 20.9°C
15:44:05: 20.9°C
15:44:12: 21.0°C
15:44:18: 21.0°C
15:44:24: 21.0°C
15:44:30: 21.0°C
15:44:37: 21.0°C
15:44:43: 21.0°C
15:44:49: 20.9°C
15:44:55: 20.9°C
15:45:02: 21.0°C
15:45:08: 21.0°C
15:45:14: 21.0°C
15:45:21: 21.0°C
15:45:27: 21.0°C
15:45:33: 21.0°C
15:45:39: 21.0°C
15:45:46: 21.0°C
15:45:52: 21.0°C
15:45:58: 21.0°C
15:46:04: 21.0°C
15:46:11: 21.0°C
15:46:17: 21.0°C
15:46:23: 21.0°C
15:46:30: 21.0°C
15:46:36: 21.0°C
15:46:42: 21.0°C
15:46:48: 21.0°C
15:46:55: 21.0°C
15:47:01: 21.0°C
15:47:07: 21.0°C
15:47:13: 21.0°C
15:47:20: 21.0°C
15:47:26: 21.0°C
15:47:32: 21.0°C
15:47:38: 21.0°C
15:47:45: 21.0°C
15:47:51: 21.0°C
15:47:57: 21.0°C
15:48:03: 21.0°C
15:48:10: 21.1°C
15:48:16: 21.1°C
15:48:22: 21.0°C
15:48:29: 21.0°C
15:48:35: 21.1°C
15:48:41: 21.0°C
15:48:47: 21.1°C
15:48:54: 21.0°C
15:49:00: 21.0°C
15:49:06: 21.1°C
15:49:12: 21.0°C
15:49:19: 21.0°C
15:49:25: 21.0°C
15:49:31: 21.1°C
15:49:37: 21.1°C
15:49:44: 21.1°C
15:49:50: 21.1°C
15:49:56: 21.1°C
15:50:03: 21.1°C
15:50:09: 21.1°C
15:50:15: 21.1°C
15:50:21: 21.1°C
15:50:28: 21.1°C
15:50:34: 21.1°C
15:50:40: 21.1°C
15:50:46: 21.1°C
15:50:53: 21.1°C
15:50:59: 21.1°C
15:51:05: 21.1°C
15:51:11: 21.1°C
15:51:18: 21.1°C
15:51:24: 21.1°C
15:51:30: 21.1°C
15:51:37: 21.1°C
15:51:43: 21.1°C
15:51:49: 21.1°C
15:51:55: 21.1°C
15:52:02: 21.1°C
15:52:08: 21.1°C
15:52:14: 21.1°C
15:52:20: 21.1°C
15:52:27: 21.1°C
15:52:33: 21.1°C
15:52:39: 21.1°C
15:52:45: 21.1°C
15:52:52: 21.1°C
15:52:58: 21.1°C
15:53:04: 21.1°C
15:53:11: 21.1°C
15:53:17: 21.1°C
15:53:23: 21.1°C
15:53:29: 21.1°C
15:53:36: 21.1°C
15:53:42: 21.1°C
15:53:48: 21.1°C
15:53:54: 21.1°C
15:54:01: 21.1°C
15:54:07: 21.1°C
15:54:13: 21.1°C
15:54:19: 21.1°C
15:54:26: 21.1°C
15:54:32: 21.1°C
15:54:38: 21.1°C
15:54:45: 21.1°C
15:54:51: 21.1°C
15:54:57: 21.1°C
15:55:03: 21.1°C
15:55:10: 21.1°C
15:55:16: 21.1°C
15:55:22: 21.1°C
15:55:28: 21.1°C
15:55:35: 21.1°C
15:55:41: 21.1°C
15:55:47: 21.1°C
15:55:53: 21.1°C
15:56:00: 21.1°C
15:56:06: 21.1°C
15:56:12: 21.1°C
15:56:18: 21.1°C
15:56:25: 21.1°C
15:56:31: 21.1°C
15:56:37: 21.1°C
15:56:44: 21.1°C
15:56:50: 21.1°C
15:56:56: 21.1°C
15:57:02: 21.1°C
15:57:09: 21.1°C
15:57:15: 21.1°C
15:57:21: 21.1°C
15:57:27: 21.1°C
15:57:34: 21.1°C
15:57:40: 21.1°C
15:57:46: 21.1°C
15:57:52: 21.1°C
15:57:59: 21.1°C
15:58:05: 21.1°C
15:58:11: 21.1°C
15:58:17: 21.1°C
15:58:24: 21.1°C
15:58:30: 21.1°C
15:58:36: 21.1°C
15:58:43: 21.1°C
15:58:49: 21.1°C
15:58:55: 21.1°C
15:59:01: 21.1°C
15:59:08: 21.1°C
15:59:14: 21.2°C
15:59:20: 21.1°C
15:59:26: 21.1°C
15:59:33: 21.2°C
15:59:39: 21.2°C
15:59:45: 21.2°C
15:59:51: 21.1°C
15:59:58: 21.1°C
16:00:04: 21.2°C
16:00:10: 21.2°C
16:00:16: 21.1°C
16:00:23: 21.2°C
16:00:29: 21.1°C
16:00:35: 21.2°C
16:00:41: 21.2°C
16:00:48: 21.1°C
16:00:54: 21.2°C
16:01:00: 21.2°C
16:01:06: 21.2°C
16:01:13: 21.2°C
16:01:19: 21.2°C
16:01:25: 21.2°C
16:01:32: 21.2°C
16:01:38: 21.2°C
16:01:44: 21.2°C
16:01:50: 21.2°C
16:01:57: 21.2°C
16:02:03: 21.2°C
16:02:09: 21.2°C
16:02:15: 21.2°C
16:02:22: 21.2°C
16:02:28: 21.2°C
16:02:34: 21.1°C
16:02:41: 21.2°C
16:02:47: 21.2°C
16:02:53: 21.2°C
16:02:59: 21.2°C
16:03:06: 21.2°C
16:03:12: 21.2°C
16:03:18: 21.2°C
16:03:24: 21.2°C
16:03:31: 21.2°C
16:03:37: 21.2°C
16:03:43: 21.2°C
16:03:50: 21.2°C
16:03:56: 21.2°C
16:04:02: 21.2°C
16:04:08: 21.2°C
16:04:15: 21.2°C
16:04:21: 21.2°C
16:04:27: 21.2°C
16:04:33: 21.2°C
16:04:40: 21.2°C
16:04:46: 21.2°C
16:04:52: 21.2°C
16:04:58: 21.2°C
16:05:05: 21.2°C
16:05:11: 21.2°C
16:05:17: 21.2°C
16:05:24: 21.2°C
16:05:30: 21.2°C
16:05:36: 21.2°C
16:05:42: 21.2°C
16:05:49: 21.2°C
16:05:55: 21.2°C
16:06:01: 21.2°C
16:06:07: 21.2°C
16:06:14: 21.2°C
16:06:20: 21.2°C
16:06:26: 21.2°C
16:06:32: 21.2°C
16:06:39: 21.2°C
16:06:45: 21.2°C
16:06:51: 21.2°C
16:06:58: 21.2°C
16:07:04: 21.2°C
16:07:10: 21.2°C
16:07:16: 21.2°C
16:07:23: 21.2°C
16:07:29: 21.2°C
16:07:35: 21.2°C
16:07:41: 21.2°C
16:07:48: 21.2°C
16:07:54: 21.2°C
16:08:00: 21.2°C
16:08:07: 21.2°C
16:08:13: 21.2°C
16:08:19: 21.2°C
16:08:25: 21.2°C
16:08:32: 21.2°C
16:08:38: 21.2°C
16:08:44: 21.2°C
16:08:50: 21.2°C
16:08:57: 21.2°C
16:09:03: 21.2°C
16:09:09: 21.2°C
16:09:15: 21.2°C
16:09:22: 21.2°C
16:09:28: 21.2°C
16:09:34: 21.2°C
16:09:41: 21.2°C
16:09:47: 21.2°C
16:09:53: 21.2°C
16:09:59: 21.2°C
16:10:06: 21.2°C
16:10:12: 21.2°C
16:10:18: 21.2°C
16:10:24: 21.2°C
16:10:31: 21.2°C
16:10:37: 21.2°C
16:10:43: 21.2°C
16:10:50: 21.2°C
16:10:56: 21.2°C
16:11:02: 21.2°C
16:11:08: 21.2°C
16:11:15: 21.3°C
16:11:21: 21.2°C
16:11:27: 21.3°C
16:11:33: 21.3°C
16:11:40: 21.2°C
16:11:46: 21.3°C
16:11:52: 21.2°C
16:11:59: 21.2°C
16:12:05: 21.2°C
16:12:11: 21.3°C
16:12:17: 21.3°C
16:12:24: 21.2°C
16:12:30: 21.2°C
16:12:36: 21.2°C
16:12:42: 21.3°C
16:12:49: 21.2°C
16:12:55: 21.3°C
16:13:01: 21.2°C
16:13:07: 21.2°C
16:13:14: 21.2°C
16:13:20: 21.2°C
16:13:26: 21.2°C
16:13:32: 21.3°C
16:13:39: 21.3°C
16:13:45: 21.3°C
16:13:51: 21.3°C
16:13:58: 21.3°C
16:14:04: 21.3°C
16:14:10: 21.3°C
16:14:16: 21.3°C
16:14:23: 21.3°C
16:14:29: 21.3°C
16:14:35: 21.3°C
16:14:41: 21.3°C
16:14:48: 21.3°C
16:14:54: 21.3°C
16:15:00: 21.3°C
16:15:06: 21.3°C
16:15:13: 21.3°C
16:15:19: 21.3°C
16:15:25: 21.3°C
16:15:32: 21.3°C
16:15:38: 21.3°C
16:15:44: 21.3°C
16:15:50: 21.3°C
16:15:57: 21.3°C
16:16:03: 21.3°C
16:16:09: 21.3°C
16:16:15: 21.3°C
16:16:22: 21.3°C
16:16:28: 21.3°C
16:16:34: 21.3°C
16:16:40: 21.4°C
16:16:47: 21.3°C
16:16:53: 21.3°C
16:16:59: 21.3°C
16:17:06: 21.3°C
16:17:12: 21.3°C
16:17:18: 21.3°C
16:17:24: 21.3°C
16:17:31: 21.4°C
16:17:37: 21.4°C
16:17:43: 21.3°C
16:17:49: 21.4°C
16:17:56: 21.3°C
16:18:02: 21.3°C
16:18:08: 21.3°C
16:18:14: 21.3°C
16:18:21: 21.4°C
16:18:27: 21.3°C
16:18:33: 21.3°C
16:18:40: 21.4°C
16:18:46: 21.4°C
16:18:52: 21.4°C
16:18:58: 21.3°C
16:19:05: 21.4°C
16:19:11: 21.4°C
16:19:17: 21.4°C
16:19:23: 21.4°C
16:19:30: 21.4°C
16:19:36: 21.4°C
16:19:42: 21.4°C
16:19:49: 21.3°C
16:19:55: 21.3°C
16:20:01: 21.4°C
16:20:07: 21.4°C
16:20:14: 21.4°C
16:20:20: 21.4°C
16:20:26: 21.4°C
16:20:32: 21.4°C
16:20:39: 21.4°C
16:20:45: 21.4°C
16:20:51: 21.4°C
16:20:57: 21.4°C
16:21:04: 21.4°C
16:21:10: 21.4°C
16:21:16: 21.4°C
16:21:23: 21.4°C
16:21:29: 21.4°C
16:21:35: 21.4°C
16:21:41: 21.4°C
16:21:48: 21.4°C
16:21:54: 21.4°C
16:22:00: 21.4°C
16:22:06: 21.4°C
16:22:13: 21.4°C
16:22:19: 21.4°C
16:22:25: 21.4°C
16:22:31: 21.4°C
16:22:38: 21.4°C
16:22:44: 21.4°C
16:22:50: 21.4°C
16:22:57: 21.4°C
16:23:03: 21.4°C
16:23:09: 21.4°C
16:23:15: 21.4°C
16:23:22: 21.4°C
16:23:28: 21.4°C
16:23:34: 21.4°C
16:23:40: 21.4°C
16:23:47: 21.4°C
16:23:53: 21.4°C
16:23:59: 21.4°C
16:24:06: 21.4°C
16:24:12: 21.4°C
16:24:18: 21.4°C
16:24:24: 21.4°C
16:24:31: 21.4°C
16:24:37: 21.4°C
16:24:43: 21.4°C
16:24:49: 21.4°C
16:24:56: 21.4°C
16:25:02: 21.4°C
16:25:08: 21.4°C
16:25:14: 21.4°C
16:25:21: 21.4°C
16:25:27: 21.4°C
16:25:33: 21.4°C
16:25:40: 21.4°C
16:25:46: 21.4°C
16:25:52: 21.4°C
16:25:58: 21.4°C
16:26:05: 21.4°C
16:26:11: 21.4°C
16:26:17: 21.4°C
16:26:23: 21.4°C
16:26:30: 21.4°C
16:26:36: 21.4°C
16:26:42: 21.4°C
16:26:48: 21.4°C
16:26:55: 21.4°C
16:27:01: 21.4°C
16:27:07: 21.4°C
16:27:13: 21.4°C
16:27:20: 21.4°C
16:27:26: 21.4°C
16:27:32: 21.4°C
16:27:39: 21.4°C
16:27:45: 21.4°C
16:27:51: 21.4°C
16:27:57: 21.4°C
16:28:04: 21.4°C
16:28:10: 21.4°C
16:28:16: 21.4°C
16:28:22: 21.4°C
16:28:29: 21.4°C
16:28:35: 21.4°C
16:28:41: 21.4°C
16:28:48: 21.4°C
16:28:54: 21.4°C
16:29:00: 21.4°C
16:29:06: 21.4°C
16:29:13: 21.4°C
16:29:19: 21.4°C
16:29:25: 21.4°C
16:29:31: 21.4°C
16:29:38: 21.5°C
16:29:44: 21.4°C
16:29:50: 21.4°C
16:29:56: 21.4°C
16:30:03: 21.4°C
16:30:09: 21.5°C
16:30:15: 21.5°C
16:30:22: 21.4°C
16:30:28: 21.4°C
16:30:34: 21.5°C
16:30:40: 21.4°C
16:30:47: 21.4°C
16:30:53: 21.4°C
16:30:59: 21.5°C
16:31:05: 21.4°C
16:31:12: 21.4°C
16:31:18: 21.5°C
16:31:24: 21.4°C
16:31:30: 21.4°C
16:31:37: 21.4°C
16:31:43: 21.4°C
16:31:49: 21.4°C
16:31:56: 21.5°C
16:32:02: 21.5°C
16:32:08: 21.4°C
16:32:14: 21.4°C
16:32:21: 21.5°C
16:32:27: 21.5°C
16:32:33: 21.4°C
16:32:39: 21.5°C
16:32:46: 21.5°C
16:32:52: 21.5°C
16:32:58: 21.5°C
16:33:05: 21.5°C
16:33:11: 21.5°C
16:33:17: 21.5°C
16:33:23: 21.5°C
16:33:30: 21.5°C
16:33:36: 21.4°C
16:33:42: 21.5°C
16:33:48: 21.5°C
16:33:55: 21.5°C
16:34:01: 21.5°C
16:34:07: 21.5°C
16:34:13: 21.5°C
16:34:20: 21.5°C
16:34:26: 21.5°C
16:34:32: 21.5°C
16:34:38: 21.5°C
16:34:45: 21.5°C
16:34:51: 21.5°C
16:34:57: 21.5°C
16:35:04: 21.5°C
16:35:10: 21.5°C
16:35:16: 21.5°C
16:35:22: 21.5°C
16:35:29: 21.5°C
16:35:35: 21.5°C
16:35:41: 21.5°C
16:35:47: 21.5°C
16:35:54: 21.5°C
16:36:00: 21.5°C
16:36:06: 21.5°C
16:36:12: 21.5°C
16:36:19: 21.5°C
16:36:25: 21.5°C
16:36:31: 21.5°C
16:36:38: 21.5°C
16:36:44: 21.5°C
16:36:50: 21.5°C
16:36:56: 21.5°C
16:37:03: 21.5°C
16:37:09: 21.5°C
16:37:15: 21.5°C
16:37:21: 21.6°C
16:37:28: 21.6°C
16:37:34: 21.5°C
16:37:40: 21.5°C
16:37:46: 21.5°C
16:37:53: 21.5°C
16:37:59: 21.5°C
16:38:05: 21.5°C
16:38:12: 21.5°C
16:38:18: 21.5°C
16:38:24: 21.5°C
16:38:30: 21.5°C
16:38:37: 21.5°C
16:38:43: 21.6°C
16:38:49: 21.6°C
16:38:55: 21.6°C
16:39:02: 21.5°C
16:39:08: 21.5°C
16:39:14: 21.5°C
16:39:20: 21.5°C
16:39:27: 21.5°C
16:39:33: 21.6°C
16:39:39: 21.5°C
16:39:46: 21.5°C
16:39:52: 21.6°C
16:39:58: 21.6°C
16:40:04: 21.6°C
16:40:11: 21.6°C
16:40:17: 21.5°C
16:40:23: 21.6°C
16:40:29: 21.6°C
16:40:36: 21.6°C
16:40:42: 21.6°C
16:40:48: 21.6°C
16:40:54: 21.6°C
16:41:01: 21.6°C
16:41:07: 21.6°C
16:41:13: 21.6°C
16:41:20: 21.5°C
16:41:26: 21.5°C
16:41:32: 21.6°C
16:41:38: 21.6°C
16:41:45: 21.6°C
16:41:51: 21.6°C
16:41:57: 21.6°C
16:42:03: 21.6°C
16:42:10: 21.6°C
16:42:16: 21.6°C
16:42:22: 21.6°C
16:42:28: 21.6°C
16:42:35: 21.6°C
16:42:41: 21.6°C
16:42:47: 21.6°C
16:42:54: 21.6°C
16:43:00: 21.6°C
16:43:06: 21.6°C
16:43:12: 21.6°C
16:43:19: 21.6°C
16:43:25: 21.6°C
